sentence,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9
car house house car car,0,0,0,3,0,0,0,2,0,0
house fish fish,0,0,0,0,0,0,2,1,0,0
dog book phone car apple,1,0,1,1,0,1,0,0,1,0
book car dog phone cat,0,0,1,1,1,1,0,0,1,0
phone bird dog cat,0,1,0,0,1,1,0,0,1,0
car tree tree,0,0,0,1,0,0,0,0,0,2
fish dog tree car,0,0,0,1,0,1,1,0,0,1
apple tree car car dog house,1,0,0,2,0,1,0,1,0,1
car book cat,0,0,1,1,1,0,0,0,0,0
cat car fish house fish apple,1,0,0,1,1,0,2,1,0,0
book house fish dog,0,0,1,0,0,1,1,1,0,0
dog bird house house apple car,1,1,0,1,0,1,0,2,0,0
tree house fish apple,1,0,0,0,0,0,1,1,0,1
dog fish tree dog,0,0,0,0,0,2,1,0,0,1
car car apple bird cat,1,1,0,2,1,0,0,0,0,0
house book cat dog fish fish,0,0,1,0,1,1,2,1,0,0
fish cat phone,0,0,0,0,1,0,1,0,1,0
dog fish car phone apple cat,1,0,0,1,1,1,1,0,1,0
book dog cat book car,0,0,2,1,1,1,0,0,0,0
cat tree bird fish,0,1,0,0,1,0,1,0,0,1
tree book phone house bird,0,1,1,0,0,0,0,1,1,1
cat bird bird,0,2,0,0,1,0,0,0,0,0
book car tree cat,0,0,1,1,1,0,0,0,0,1
phone dog cat cat,0,0,0,0,2,1,0,0,1,0
bird phone book car book phone,0,1,2,1,0,0,0,0,2,0
book cat house apple,1,0,1,0,1,0,0,1,0,0
tree tree book,0,0,1,0,0,0,0,0,0,2
house phone house fish dog cat,0,0,0,0,1,1,1,2,1,0
tree phone phone house phone apple,1,0,0,0,0,0,0,1,3,1
phone dog apple cat bird,1,1,0,0,1,1,0,0,1,0
